id,strain,mu,T,filedic,n,nerr,totN,kap,kaperr,rhos,rhoserr,estsize,supsize,boxdims,com_ave,com_err,realmu
f3726fbc-29ee-46dc-9069-7d42622aecf2,0.22,-91.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--086.573-0.00313-f3726fbc-29ee-46dc-9069-7d42622aecf2.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--086.573-0.00313-f3726fbc-29ee-46dc-9069-7d42622aecf2.dat'}",6.067675,0.029549305450331645,16,0.8239231338696748,0.0454482331463521,N/A,N/A,800,N/A,"[12.00242, 10.3944, 10.0]",N/A,N/A,-86.573
dd6317b0-8d35-4691-bd7a-78a9e3f27154,0.13,-101.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--101.900-0.00313-dd6317b0-8d35-4691-bd7a-78a9e3f27154.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--101.900-0.00313-dd6317b0-8d35-4691-bd7a-78a9e3f27154.dat'}",0.164903125,0.013112722145868928,16,242.73200722202884,22.254632318902683,N/A,N/A,800,N/A,"[11.11699, 9.6276, 10.0]",N/A,N/A,-101.9
19b58c00-cfd0-449d-93df-374584efebdb,0.05,-116.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--116.900-0.00313-19b58c00-cfd0-449d-93df-374584efebdb.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--116.900-0.00313-19b58c00-cfd0-449d-93df-374584efebdb.dat'}",0.08759062499999999,0.00965168064470359,64,1732.093337959615,211.60561612352055,N/A,N/A,800,N/A,"[20.6599, 17.892, 10.0]",N/A,N/A,-116.9
1edcfe86-58f1-492a-be78-e8bc18d8623b,0.07,-111.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--111.600-0.00313-1edcfe86-58f1-492a-be78-e8bc18d8623b.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--111.600-0.00313-1edcfe86-58f1-492a-be78-e8bc18d8623b.dat'}",0.18594687499999998,0.014868955976592144,16,266.7972769128675,22.171690357175006,N/A,N/A,800,N/A,"[10.52671, 9.1164, 10.0]",N/A,N/A,-111.6
6a7b6b0e-5655-4c15-b016-921efaededee,0.28,-82.8,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--082.800-0.00313-6a7b6b0e-5655-4c15-b016-921efaededee.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--082.800-0.00313-6a7b6b0e-5655-4c15-b016-921efaededee.dat'}",0.6522,0.026065289042442676,64,218.0041926937198,13.720768906220444,N/A,N/A,800,N/A,"[25.1854, 21.8112, 10.0]",N/A,N/A,-82.8
d3cda51f-8285-4c89-ab48-1b186289aacd,0.26,-85.6,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--085.600-0.00313-d3cda51f-8285-4c89-ab48-1b186289aacd.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--085.600-0.00313-d3cda51f-8285-4c89-ab48-1b186289aacd.dat'}",0.071309375,0.008614094943485412,16,600.5485991297987,77.43163321359657,N/A,N/A,800,N/A,"[12.39594, 10.7352, 10.0]",N/A,N/A,-85.6
2405bc33-9d4f-40ea-8429-c72c062a872a,0.1,-111.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--109.800-0.00313-2405bc33-9d4f-40ea-8429-c72c062a872a.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--109.800-0.00313-2405bc33-9d4f-40ea-8429-c72c062a872a.dat'}",0.028940625,0.005734018088407504,64,5579.465794471705,1185.3408008199115,N/A,N/A,800,N/A,"[21.64371, 18.744, 10.0]",N/A,N/A,-109.8
04f5076e-f6f1-4e0e-8deb-14beab0a0ba9,0.24,-88.4,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--088.400-0.00313-04f5076e-f6f1-4e0e-8deb-14beab0a0ba9.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--088.400-0.00313-04f5076e-f6f1-4e0e-8deb-14beab0a0ba9.dat'}",0.037190625,0.006147336373798614,16,1152.2793624686437,202.18435409800588,N/A,N/A,800,N/A,"[12.19918, 10.5648, 10.0]",N/A,N/A,-88.4
7f7c1e71-3283-442f-ad0f-1795aa9fdea0,0.0,-129.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--129.000-0.00313-7f7c1e71-3283-442f-ad0f-1795aa9fdea0.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--129.000-0.00313-7f7c1e71-3283-442f-ad0f-1795aa9fdea0.dat'}",0.00525,0.0023717865751786667,64,31515.91044568641,18413.627269906196,N/A,N/A,800,N/A,"[19.6761, 17.04, 10.0]",N/A,N/A,-129.0
2149ca51-3ba4-4dd8-9469-bbca0d9110a2,0.18,-96.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--096.434-0.00313-2149ca51-3ba4-4dd8-9469-bbca0d9110a2.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--096.434-0.00313-2149ca51-3ba4-4dd8-9469-bbca0d9110a2.dat'}",0.092659375,0.009852065851806011,64,1658.021083045815,195.83852578961503,N/A,N/A,800,N/A,"[23.21779, 20.1072, 10.0]",N/A,N/A,-96.434
162fcb54-26f3-440d-8a81-77a967562a4f,0.01,-126.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--126.400-0.00313-162fcb54-26f3-440d-8a81-77a967562a4f.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--126.400-0.00313-162fcb54-26f3-440d-8a81-77a967562a4f.dat'}",0.018146875,0.004298437715034441,64,8997.245973301286,2309.9789728102983,N/A,N/A,800,N/A,"[19.87286, 17.2104, 10.0]",N/A,N/A,-126.4
67d8b2d7-1ee5-43c6-b34d-def6b73e3182,0.16,-96.3,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--096.300-0.00313-67d8b2d7-1ee5-43c6-b34d-def6b73e3182.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--096.300-0.00313-67d8b2d7-1ee5-43c6-b34d-def6b73e3182.dat'}",0.884821875,0.044866068525374884,16,90.37526063895473,5.288605380849805,N/A,N/A,800,N/A,"[11.41214, 9.8832, 10.0]",N/A,N/A,-96.3
6710c19d-2ae1-4722-ad1a-e2f98a48d466,0.09,-108.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--108.600-0.00313-6710c19d-2ae1-4722-ad1a-e2f98a48d466.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--108.600-0.00313-6710c19d-2ae1-4722-ad1a-e2f98a48d466.dat'}",0.061915625,0.008076078584209178,16,752.0152989667508,105.50792649916687,N/A,N/A,800,N/A,"[10.72347, 9.2868, 10.0]",N/A,N/A,-108.6
485fe334-706b-48ae-8aad-4f5849f5c1c4,0.13,-102.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--102.300-0.00313-485fe334-706b-48ae-8aad-4f5849f5c1c4.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--102.300-0.00313-485fe334-706b-48ae-8aad-4f5849f5c1c4.dat'}",0.271696875,0.020320115530796056,64,792.4065419186658,64.72415672553848,N/A,N/A,800,N/A,"[22.23399, 19.2552, 10.0]",N/A,N/A,-102.3
c0cd2013-b0f5-4872-ad8f-dab75f5d9c16,0.12,-108.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--100.620-0.00313-c0cd2013-b0f5-4872-ad8f-dab75f5d9c16.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--100.620-0.00313-c0cd2013-b0f5-4872-ad8f-dab75f5d9c16.dat'}",4.987346875,0.03814116816920966,16,2.022984124165976,0.12525032859095828,N/A,N/A,800,N/A,"[11.01861, 9.5424, 10.0]",N/A,N/A,-100.62
1c0d5c6e-6918-4723-8027-46800d8c7a2b,0.24,-89.2,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--089.200-0.00313-1c0d5c6e-6918-4723-8027-46800d8c7a2b.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--089.200-0.00313-1c0d5c6e-6918-4723-8027-46800d8c7a2b.dat'}",0.01938125,0.004242540427431996,16,2103.3830112485193,496.4925116494064,N/A,N/A,800,N/A,"[12.19918, 10.5648, 10.0]",N/A,N/A,-89.2
ed65600b-7687-452e-bb94-373c3d95af8b,0.23,-90.3,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--090.300-0.00313-ed65600b-7687-452e-bb94-373c3d95af8b.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--090.300-0.00313-ed65600b-7687-452e-bb94-373c3d95af8b.dat'}",0.021881249999999998,0.004556943329407462,16,1866.9859072184252,417.3906723460576,N/A,N/A,800,N/A,"[12.1008, 10.4796, 10.0]",N/A,N/A,-90.3
bd5554d8-6868-492e-98be-d0f7b3272401,0.04,-121.0,1.0,"{'log': '/home/sang/UVM/He4vacuum/OUTPUT/gce-log-01.000-010.000--121.000-0.00313-bd5554d8-6868-492e-98be-d0f7b3272401.dat', 'estimator': '/home/sang/UVM/He4vacuum/OUTPUT/gce-estimator-01.000-010.000--121.000-0.00313-bd5554d8-6868-492e-98be-d0f7b3272401.dat'}",0.00263125,0.0014400766447398839,16,15766.946473627719,15170.93687974141,N/A,N/A,800,N/A,"[10.23157, 8.8608, 10.0]",N/A,N/A,-121.0
